"Field","Type","English"
"ProductName","Text","X75 MotionOS"
"Description","Text","X75 MotionOS is a hands-free desktop control app that lets you control your Windows computer using webcam-based hand tracking and optional voice commands. Move your finger to control the cursor, pinch to click, hold to drag, scroll with gestures, and use supported voice commands for common desktop actions. The beta is designed for accessibility, productivity, experimentation, and touch-free interaction. Camera frames are processed locally on your device for hand tracking. Voice commands are optional and can be disabled from settings."
"WhatsNew","Text","Initial public beta release with hand-tracking cursor control, click gestures, scrolling, drag/select support, custom gestures, user profiles, optional voice commands, in-app manual, and installer support."
"ProductFeatures1","Text","Control your mouse cursor using webcam-based hand tracking"
"ProductFeatures2","Text","Pinch to click and double pinch to double click"
"ProductFeatures3","Text","Hold gestures to drag or select items"
"ProductFeatures4","Text","Scroll pages using natural two-finger hand movement"
"ProductFeatures5","Text","Use desktop gestures for task view and desktop switching"
"ProductFeatures6","Text","Optional voice commands for common desktop actions"
"ProductFeatures7","Text","Custom gesture mappings for advanced users"
"ProductFeatures8","Text","Profiles for shared computers and different users"
"ProductFeatures9","Text","Adjustable sensitivity and performance settings"
"ProductFeatures10","Text","Built-in manual with gesture and voice command guidance"
"ProductFeatures11","Text",""
"ProductFeatures12","Text",""
"ProductFeatures13","Text",""
"ProductFeatures14","Text",""
"ProductFeatures15","Text",""
"ProductFeatures16","Text",""
"ProductFeatures17","Text",""
"ProductFeatures18","Text",""
"ProductFeatures19","Text",""
"ProductFeatures20","Text",""
"ShortDescription","Text","Hands-free mouse control with webcam hand tracking and optional voice commands."
"SearchTerms1","Text","hand tracking"
"SearchTerms2","Text","mouse control"
"SearchTerms3","Text","gesture control"
"SearchTerms4","Text","hands free"
"SearchTerms5","Text","voice commands"
"SearchTerms6","Text","accessibility"
"SearchTerms7","Text","webcam control"
"Applicable license terms","Text","X75 MotionOS is proprietary software. See the included license terms for permitted beta use, restrictions, third-party notices, and warranty disclaimer."
"Copyright","Text","Copyright (c) 2026 Hardil Solanki. All rights reserved."
"DevelopedBy","Text","Hardil Solanki, X75 Labs"
"RequirementsMinimum1","Text","Windows 10 or Windows 11, 64-bit"
"RequirementsMinimum2","Text","Working webcam required for hand tracking"
"RequirementsMinimum3","Text","4 GB RAM"
"RequirementsMinimum4","Text","64-bit dual-core processor"
"RequirementsMinimum5","Text","Good lighting for reliable hand detection"
"RequirementsMinimum6","Text","Internet connection may be needed if external speech recognition is enabled"
"RequirementsMinimum7","Text",""
"RequirementsMinimum8","Text",""
"RequirementsMinimum9","Text",""
"RequirementsMinimum10","Text",""
"RequirementsMinimum11","Text",""
"RequirementsRecommended1","Text","Windows 11, 64-bit"
"RequirementsRecommended2","Text","8 GB RAM or more"
"RequirementsRecommended3","Text","64-bit quad-core processor or better"
"RequirementsRecommended4","Text","Built-in or external HD webcam"
"RequirementsRecommended5","Text","Microphone for optional voice commands"
"RequirementsRecommended6","Text","Well-lit workspace with clear hand visibility"
"RequirementsRecommended7","Text",""
"RequirementsRecommended8","Text",""
"RequirementsRecommended9","Text",""
"RequirementsRecommended10","Text",""
"RequirementsRecommended11","Text",""
"StoreLogos1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise","logos/x75-motionos-logo.png"
"StoreLogos2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots1","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise","screenshots/01-main-screen.png"
"Screenshots2","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise","screenshots/02-advanced-settings.png"
"Screenshots3","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise","screenshots/03-custom-gestures.png"
"Screenshots4","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise","screenshots/04-how-to-use-manual.png"
"Screenshots5","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots6","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots7","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots8","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots9","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"Screenshots10","Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise",""
"HeroArts","Text",""
"Trailers","Text",""
